dbirwt_0,dbirwt_1
1985.0,2098.0
936.0,1006.0
737.0,850.0
1830.0,1970.0
1030.0,1070.0
901.0,913.0
1474.0,1559.0
1730.0,1920.0
1780.0,1940.0
1385.0,1700.0
1850.0,1920.0
1361.0,1588.0
1673.0,1814.0
1417.0,1531.0
709.0,737.0
1375.0,1729.0
1160.0,1870.0
1350.0,1430.0
1360.0,1870.0
1036.0,1106.0
630.0,680.0
1230.0,1830.0
1540.0,1620.0
780.0,1520.0
910.0,914.0
1729.0,1843.0
2013.0,2098.0
620.0,640.0
1361.0,1389.0
1219.0,1332.0
680.0,1021.0
1247.0,1928.0
1474.0,2013.0
1588.0,1743.0
1970.0,2000.0
1750.0,1840.0
1980.0,2020.0
1006.0,1219.0
1140.0,1160.0
1185.0,1540.0
1488.0,1559.0
921.0,1049.0
495.0,750.0
2041.0,2098.0
1715.0,1743.0
1503.0,1531.0
1588.0,1899.0
1500.0,1740.0
955.0,977.0
680.0,737.0
1899.0,2098.0
480.0,510.0
1880.0,1980.0
1871.0,2090.0
1541.0,1620.0
1387.0,1699.0
1792.0,2055.0
1814.0,1985.0
1423.0,1459.0
1431.0,1956.0
765.0,1091.0
1310.0,1800.0
1503.0,1673.0
1843.0,2098.0
1200.0,1500.0
1580.0,1760.0
1474.0,1531.0
1814.0,2013.0
1247.0,1985.0
1586.0,1729.0
1260.0,2005.0
709.0,879.0
1743.0,1772.0
2041.0,2070.0
380.0,595.0
740.0,770.0
1474.0,1758.0
1814.0,1843.0
926.0,1170.0
897.0,1895.0
312.0,567.0
1980.0,2030.0
858.0,1897.0
340.0,439.0
1417.0,1445.0
1400.0,2070.0
1970.0,1990.0
1021.0,1050.0
680.0,765.0
1460.0,1710.0
978.0,1191.0
1637.0,2034.0
1956.0,2027.0
1929.0,2100.0
1970.0,2084.0
1616.0,1775.0
1395.0,1870.0
735.0,880.0
1419.0,1986.0
907.0,1701.0
1000.0,1860.0
1332.0,1446.0
1880.0,1970.0
1985.0,2013.0
1814.0,1985.0
460.0,595.0
1673.0,1843.0
1140.0,1500.0
1000.0,1060.0
1380.0,1480.0
990.0,1010.0
620.0,910.0
1673.0,1701.0
1644.0,1673.0
1940.0,2080.0
1191.0,1210.0
1250.0,1420.0
1980.0,2040.0
500.0,900.0
1814.0,1843.0
1758.0,1956.0
1900.0,1930.0
1503.0,1786.0
1890.0,2055.0
1500.0,1790.0
1814.0,1956.0
1520.0,1540.0
1840.0,2100.0
1701.0,1814.0
1000.0,1720.0
480.0,500.0
1212.0,1900.0
1590.0,1740.0
1730.0,1750.0
1770.0,1780.0
482.0,539.0
1920.0,1950.0
1640.0,1871.0
1729.0,1814.0
1580.0,1700.0
1899.0,1956.0
1790.0,1910.0
1415.0,1450.0
284.0,312.0
2070.0,2098.0
1247.0,1588.0
1588.0,1871.0
1380.0,1775.0
2015.0,2050.0
1588.0,1616.0
1380.0,1410.0
1474.0,1644.0
1899.0,2041.0
590.0,780.0
1850.0,2010.0
1300.0,1430.0
780.0,850.0
1660.0,1990.0
1956.0,1985.0
1871.0,1956.0
1559.0,1814.0
1729.0,1843.0
1190.0,1250.0
1480.0,1760.0
1985.0,2041.0
1080.0,1210.0
1875.0,1895.0
1871.0,1899.0
1616.0,1871.0
1531.0,2041.0
1928.0,2098.0
1474.0,1644.0
624.0,652.0
567.0,709.0
1899.0,1928.0
1503.0,1588.0
1616.0,1956.0
510.0,652.0
1985.0,2041.0
1389.0,1503.0
1786.0,1956.0
1361.0,1503.0
1871.0,1899.0
1956.0,2013.0
1531.0,1559.0
1418.0,1985.0
600.0,870.0
510.0,567.0
964.0,1701.0
1332.0,1389.0
1495.0,1540.0
1330.0,1505.0
1673.0,1871.0
822.0,930.0
1644.0,1899.0
1160.0,1505.0
1100.0,1835.0
1843.0,2013.0
1640.0,1915.0
1899.0,2013.0
1097.0,1457.0
652.0,680.0
1956.0,2041.0
250.0,265.0
1325.0,1675.0
1758.0,2041.0
1106.0,1162.0
1814.0,1928.0
638.0,725.0
1871.0,2013.0
1219.0,1247.0
1191.0,1332.0
1644.0,1814.0
936.0,1106.0
1021.0,1106.0
1503.0,1928.0
780.0,850.0
1446.0,1814.0
1956.0,2041.0
1332.0,1361.0
1210.0,1400.0
1455.0,1525.0
2015.0,2080.0
1605.0,1740.0
1120.0,1560.0
1470.0,1805.0
1884.0,1924.0
1400.0,1660.0
1710.0,2080.0
1984.0,2041.0
765.0,850.0
936.0,1191.0
1758.0,1786.0
1502.0,2098.0
482.0,539.0
907.0,1134.0
936.0,1077.0
655.0,1210.0
1417.0,1928.0
570.0,585.0
1984.0,2013.0
505.0,585.0
1531.0,1673.0
1588.0,2070.0
1758.0,2098.0
1367.0,1387.0
964.0,1176.0
1400.0,1430.0
1503.0,1701.0
900.0,1030.0
1801.0,1858.0
1240.0,1430.0
1480.0,1520.0
1440.0,1516.0
1588.0,1871.0
1885.0,1985.0
1332.0,1360.0
850.0,1020.0
1531.0,1871.0
1600.0,1930.0
1820.0,1860.0
1410.0,1560.0
1786.0,1945.0
1580.0,1610.0
1720.0,1750.0
380.0,405.0
1786.0,1871.0
1361.0,1517.0
1730.0,1777.0
285.0,565.0
1650.0,1690.0
1899.0,1956.0
1610.0,1650.0
1857.0,1860.0
1695.0,1700.0
1418.0,1573.0
1317.0,1410.0
1616.0,1673.0
480.0,490.0
1455.0,1917.0
1517.0,1616.0
1590.0,1810.0
737.0,879.0
1758.0,1828.0
1219.0,1588.0
1871.0,2041.0
1247.0,1361.0
1520.0,1560.0
1740.0,2060.0
770.0,1060.0
1474.0,1602.0
1389.0,1814.0
1503.0,1531.0
1729.0,1970.0
1673.0,1928.0
1406.0,1633.0
1673.0,1985.0
1380.0,1395.0
435.0,539.0
2027.0,2070.0
1270.0,1525.0
354.0,398.0
964.0,1418.0
1247.0,1595.0
1729.0,1772.0
340.0,425.0
1616.0,1665.0
1613.0,1942.0
310.0,320.0
1162.0,1361.0
1505.0,1560.0
1793.0,1814.0
1503.0,1531.0
1880.0,1980.0
1670.0,1910.0
1530.0,1905.0
1375.0,1440.0
1389.0,1559.0
1673.0,2070.0
1984.0,2013.0
320.0,624.0
504.0,508.0
1800.0,1965.0
1077.0,1219.0
1786.0,1985.0
860.0,1045.0
1425.0,1480.0
1750.0,1875.0
1701.0,1985.0
1885.0,1970.0
430.0,560.0
1210.0,1305.0
1755.0,1825.0
1395.0,1655.0
1998.0,2053.0
1644.0,1928.0
1843.0,2013.0
1175.0,1555.0
1425.0,1905.0
510.0,595.0
361.0,736.0
1833.0,2033.0
1091.0,1318.0
1999.0,2077.0
2000.0,2070.0
1616.0,1899.0
1625.0,1655.0
1786.0,1843.0
1503.0,1545.0
1630.0,1670.0
1830.0,1960.0
1370.0,1440.0
1020.0,1366.0
1040.0,1212.0
1580.0,1880.0
1920.0,1985.0
1300.0,1435.0
1100.0,1450.0
1616.0,1772.0
580.0,600.0
625.0,1000.0
2070.0,2098.0
397.0,425.0
1956.0,2041.0
1729.0,1871.0
1304.0,1361.0
1880.0,2062.0
1899.0,1984.0
640.0,670.0
1850.0,1945.0
2020.0,2065.0
850.0,950.0
840.0,1276.0
765.0,790.0
1814.0,1984.0
1565.0,1720.0
1650.0,1830.0
963.0,1066.0
1106.0,1247.0
1925.0,2100.0
1616.0,1786.0
1552.0,1812.0
1701.0,1985.0
1170.0,1185.0
1200.0,1230.0
1617.0,1764.0
937.0,1021.0
1620.0,1800.0
1063.0,1729.0
1780.0,2090.0
1660.0,1840.0
1722.0,1976.0
1247.0,1720.0
397.0,425.0
1130.0,1320.0
1559.0,1644.0
1230.0,1500.0
700.0,1000.0
1673.0,1786.0
567.0,595.0
1450.0,1580.0
822.0,1701.0
1238.0,1300.0
1730.0,1960.0
1660.0,1910.0
957.0,1176.0
408.0,430.0
1276.0,1928.0
1080.0,1600.0
1588.0,1616.0
1750.0,1843.0
790.0,990.0
1446.0,1673.0
1276.0,1701.0
1160.0,1175.0
1610.0,1640.0
1330.0,1430.0
830.0,840.0
1600.0,1760.0
1140.0,1250.0
1625.0,1895.0
1140.0,1300.0
1530.0,1720.0
1361.0,1389.0
1871.0,1928.0
1984.0,2098.0
1046.0,1147.0
1789.0,2094.0
1143.0,1339.0
800.0,820.0
1899.0,1985.0
1120.0,1247.0
1814.0,1956.0
822.0,907.0
1928.0,1985.0
284.0,397.0
1418.0,1503.0
1300.0,1510.0
1474.0,1503.0
1503.0,1871.0
1720.0,2080.0
1380.0,1420.0
1758.0,1899.0
1150.0,1390.0
1332.0,1758.0
1928.0,1942.0
2013.0,2020.0
490.0,500.0
1899.0,2098.0
227.0,234.0
300.0,301.0
1914.0,2070.0
1532.0,1615.0
1658.0,1743.0
1780.0,1786.0
1950.0,1970.0
2000.0,2010.0
1595.0,1950.0
1860.0,2090.0
985.0,1090.0
1995.0,2065.0
1559.0,1701.0
1566.0,1683.0
1900.0,1960.0
1770.0,1810.0
1970.0,2030.0
1905.0,1982.0
1960.0,2000.0
480.0,630.0
1632.0,2003.0
1555.0,1705.0
410.0,415.0
1370.0,1720.0
1560.0,1930.0
1359.0,1630.0
1158.0,1356.0
500.0,650.0
1559.0,1715.0
454.0,624.0
1332.0,1474.0
1814.0,2013.0
1655.0,1780.0
1219.0,1612.0
1680.0,1928.0
1865.0,1980.0
1965.0,2055.0
725.0,755.0
1560.0,1640.0
1753.0,1754.0
638.0,907.0
1755.0,1805.0
1248.0,1830.0
1928.0,2070.0
1273.0,1708.0
1616.0,1758.0
340.0,482.0
1520.0,1910.0
1875.0,2000.0
2013.0,2098.0
1616.0,1899.0
615.0,1350.0
978.0,1006.0
1445.0,1950.0
1580.0,1715.0
1200.0,1940.0
2020.0,2100.0
1900.0,1970.0
1758.0,1786.0
1680.0,1720.0
2006.0,2041.0
1786.0,1843.0
1219.0,1361.0
1682.0,1713.0
1860.0,1882.0
980.0,1190.0
370.0,900.0
1985.0,2041.0
1658.0,1843.0
1785.0,1975.0
1899.0,1956.0
1710.0,1950.0
1585.0,1600.0
1871.0,1899.0
1680.0,1950.0
1005.0,1305.0
1045.0,1155.0
848.0,1019.0
700.0,704.0
936.0,1077.0
1899.0,1956.0
1332.0,1389.0
1880.0,1895.0
1758.0,2041.0
2070.0,2098.0
1179.0,1270.0
1340.0,2010.0
1870.0,1930.0
879.0,936.0
1920.0,1985.0
1210.0,1260.0
510.0,709.0
1830.0,1970.0
1430.0,1510.0
1690.0,1880.0
890.0,1200.0
1153.0,1219.0
1627.0,1956.0
1839.0,1983.0
780.0,1405.0
1863.0,1984.0
1770.0,1860.0
635.0,720.0
709.0,1760.0
1361.0,1814.0
1928.0,2013.0
1191.0,1758.0
1814.0,1956.0
1928.0,2070.0
1644.0,2098.0
1820.0,2050.0
1800.0,1830.0
1915.0,2045.0
1876.0,1953.0
1040.0,1185.0
2000.0,2060.0
670.0,700.0
1000.0,1108.0
880.0,1000.0
1700.0,2000.0
1588.0,1758.0
1185.0,1290.0
1350.0,1440.0
765.0,851.0
1685.0,1730.0
1389.0,1545.0
1500.0,1650.0
1361.0,1446.0
1750.0,2050.0
1920.0,1990.0
1560.0,1675.0
1620.0,1880.0
1380.0,1515.0
1814.0,1895.0
1700.0,1790.0
925.0,1095.0
1106.0,2084.0
1871.0,1928.0
1616.0,1701.0
1700.0,1820.0
1520.0,1695.0
1290.0,1658.0
1715.0,2070.0
1245.0,1710.0
1219.0,1247.0
303.0,323.0
1540.0,1860.0
1474.0,1503.0
1729.0,2098.0
1985.0,2070.0
516.0,544.0
1446.0,1460.0
1200.0,2062.0
1000.0,1100.0
1736.0,2085.0
1665.0,1855.0
1340.0,1440.0
880.0,1340.0
2052.0,2099.0
1956.0,1985.0
1701.0,1899.0
490.0,660.0
435.0,440.0
832.0,850.0
2080.0,2100.0
1304.0,1531.0
632.0,791.0
1106.0,1304.0
1110.0,1770.0
1750.0,2000.0
1295.0,1370.0
1090.0,1150.0
1814.0,1899.0
1588.0,1899.0
1910.0,1957.0
1559.0,1729.0
1616.0,1758.0
1280.0,1509.0
1701.0,2098.0
1871.0,2041.0
1424.0,1996.0
1860.0,2041.0
1474.0,1814.0
1701.0,2070.0
1060.0,1270.0
1899.0,2075.0
1740.0,1950.0
1035.0,1065.0
1474.0,1588.0
300.0,380.0
1420.0,1440.0
380.0,490.0
1640.0,1820.0
1390.0,1575.0
1825.0,1870.0
1500.0,1790.0
1680.0,1730.0
1330.0,1630.0
2035.0,2055.0
1021.0,1162.0
1758.0,1899.0
1592.0,1630.0
1928.0,1956.0
1550.0,1590.0
1380.0,1710.0
1300.0,1800.0
1800.0,1830.0
1060.0,1350.0
709.0,1162.0
1780.0,1920.0
490.0,600.0
1100.0,1571.0
1850.0,2013.0
1729.0,1843.0
1134.0,1588.0
1873.0,1905.0
1503.0,1871.0
1490.0,1940.0
1550.0,1960.0
1590.0,1600.0
1446.0,1729.0
695.0,760.0
610.0,670.0
1937.0,1940.0
2070.0,2084.0
1233.0,1999.0
1701.0,1786.0
1000.0,1090.0
410.0,610.0
1455.0,1710.0
1899.0,1956.0
1410.0,1825.0
2013.0,2070.0
890.0,1070.0
1640.0,1700.0
1370.0,1390.0
1170.0,1340.0
1956.0,2070.0
1070.0,1080.0
1240.0,1899.0
530.0,545.0
1360.0,1531.0
1790.0,1825.0
1899.0,2034.0
1417.0,1474.0
907.0,1315.0
1665.0,1694.0
1403.0,1488.0
1110.0,1740.0
2080.0,2100.0
1885.0,1999.0
1673.0,1729.0
1380.0,1460.0
1790.0,2100.0
520.0,1020.0
1233.0,2084.0
1856.0,1861.0
1758.0,2041.0
1820.0,1850.0
1197.0,1229.0
528.0,578.0
745.0,800.0
1644.0,1729.0
1430.0,1660.0
1786.0,1970.0
1418.0,1729.0
1873.0,1966.0
1644.0,1956.0
1729.0,1956.0
1928.0,2041.0
1588.0,1616.0
1361.0,1531.0
936.0,1786.0
1219.0,1531.0
1276.0,1588.0
